"addr_short","ISIid","author","address","lon","lat"
" A-1160 Vienna,  Austria","WOS:000313650600013","Fischer, Stefan"," Univ Vet Med Vienna, Konrad Lorenz Inst Ethol, Dept Integrat Biol & Evolut, A-1160 Vienna, Austria",16.3,48.2
" A-1160 Vienna,  Austria","WOS:000313650600013","Frommen, Joachim G."," Univ Vet Med Vienna, Konrad Lorenz Inst Ethol, Dept Integrat Biol & Evolut, A-1160 Vienna, Austria",16.3,48.2
" A-2361 Laxenburg,  Austria","WOS:000302485200027","Taborsky, Barbara"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000302804400006","Heino, Mikko"," Int Inst Appl Syst Anal, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000304533800010","Heino, Mikko"," IIASA, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000322112300037","Eikeset, Anne Maria"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000322112300037","Dunlop, Erin S."," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000322112300037","Dieckmann, Ulf"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000327573500012","Mollet, Fabian M."," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000329299900004","Whitlock, Rebecca"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000329299900004","Matsumura, Shuichi"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000329299900004","Urbach, Davnah"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000329299900004","Ernande, Bruno"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000329299900004","Johnston, Fiona D."," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000329299900004","Mollet, Fabian"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000329299900004","Heino, Mikko"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000329299900004","Dieckmann, Ulf"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000330723600014","Ernande, Bruno"," Int Inst Appl Syst Anal, Evolut & Ecol Program, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000331189000010","Dieckmann, Ulf"," Int Inst Appl Syst Anal, A-2361 Laxenburg, Austria",16.4,48.1
" A-2361 Laxenburg,  Austria","WOS:000331189000010","Heino, Mikko"," Int Inst Appl Syst Anal, A-2361 Laxenburg, Austria",16.4,48.1
" A-5020 Salzburg,  Austria","WOS:000323740300004","Ferreira, F."," Salzburg Univ, Christian Doppler Lab Allergy Diag & Therapy, A-5020 Salzburg, Austria",13,47.8
" A-5020 Salzburg,  Austria","WOS:000344378300015","Ferreira, Fatima"," Salzburg Univ, Christian Doppler Lab Allergy Diag & Therapy, A-5020 Salzburg, Austria",13,47.8
" AB T2N 1N4,  Canada","WOS:000325796000002","Syme, Douglas A."," Univ Calgary, Dept Biol Sci, Calgary, AB T2N 1N4, Canada",-114.1,51.1
" AB T2N 1N4,  Canada","WOS:000341477900016","Syme, Douglas A."," Univ Calgary, Dept Biol Sci, Calgary, AB T2N 1N4, Canada",-114.1,51.1
" AB,  Canada","WOS:000341214100038","Coppock, R. W."," Univ Alberta, Sch Publ Hlth, Dept Publ Hlth Sci, Edmonton, AB, Canada",-116.6,53.9
" AB,  Canada","WOS:000341214100038","Coppock, R. W."," Concordia Univ, Coll Alberta, Edmonton, AB, Canada",-116.6,53.9
" AB,  Canada","WOS:000341214100038","Coppock, R. W."," Toxicologist & Associates Ltd, Vegreville, AB, Canada",-116.6,53.9
" AB,  Canada","WOS:000341214100038","Dziwenka, Margitta M."," Univ Alberta, Hlth Sci Lab Anim Serv, Fac Med & Dent, Edmonton, AB, Canada",-116.6,53.9
" AB,  Canada","WOS:000341214100038","Dziwenka, Margitta M."," Toxalta Consulting Ltd, Vegreville, AB, Canada",-116.6,53.9
" ACT 0200,  Australia","WOS:000319117400027","Roche, Dominique G."," Australian Natl Univ, Res Sch Biol, Div Evolut Ecol & Genet, Australian Res Council,Ctr Excellence Coral Reef, Canberra, ACT 0200, Australia",149.1,-35.3
