"ISIid","leadau","type","journal","year","volume","issue","bp","ep","refs","cites","authn","title"
"WOS:000347119100037","Valen, R","Article","PLOS ONE",2014,"9","12","","",64,0,5,"Molecular Evidence that Only Two Opsin Subfamilies, the Blue Light- (SWS2) and Green Light-Sensitive (RH2), Drive Color Vision in Atlantic Cod (Gadus morhua) "
"WOS:000349146300021","Kelly, NI","Article","PLOS ONE",2014,"9","12","","",48,0,4,"Metabolic Depression in Cunner (Tautogolabrus adspersus) Is Influenced by Ontogeny, and Enhances Thermal Tolerance "
"WOS:000347628100003","Chernova, NV","Article","PEERJ",2014,"2","","","",58,0,4,"Franz Josef Land: extreme northern outpost for Arctic fishes "
"WOS:000346907600010","Cazamea-Catalan, D","Article","PLOS ONE",2014,"9","12","","",66,0,4,"The Timing of Timezyme Diversification in Vertebrates "
"WOS:000347580200002","Rise, ML","Article","MARINE GENOMICS",2014,"18","","3","20",65,2,7,"Variation in embryonic mortality and maternal transcript expression among Atlantic cod (Gadus morhua) broodstock: A functional genomics study "
"WOS:000347580200003","Lazado, CC","Article","MARINE GENOMICS",2014,"18","","21","29",42,3,5,"Circadian rhythmicity and photic plasticity of myosin gene transcription in fast skeletal muscle of Atlantic cod (Gadus morhua) "
"WOS:000348452800030","Kenigson, JS","Article","JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS",2014,"119","12","8749","8766",32,1,2,"Detecting and understanding the accelerated sea level rise along the east coast of the United States during recent decades "
"WOS:000347805800001","Khan, JR","Article","FRONTIERS IN PHYSIOLOGY",2014,"5","","","",62,0,6,"Accommodating the cost of growth and swimming in fish-the applicability of exercise-induced growth to juvenile hapuku (Polyprion oxygeneios) "
"WOS:000346894900049","Politis, SN","Article","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",2014,"461","","407","415",64,0,3,"Light impacts embryonic and early larval development of the European eel, Anguilla anguilla "
"WOS:000346851400014","Neuheimer, AB","Article","ECOLOGY",2014,"95","12","3364","3375",67,0,2,"Explaining life history variation in a changing climate across a species range "
"WOS:000346640200004","Makeenko, GA","Article","RUSSIAN JOURNAL OF GENETICS",2014,"50","12","1271","1284",34,0,4,"Genetic variation at the pantophysin (PanI) locus in North-East Arctic cod Gadus morhua L. (Godiformes: Gadidae) population in the Barents Sea and adjacent waters "
"WOS:000346079400006","Kuparinen, A","Article","EVOLUTIONARY APPLICATIONS",2014,"7","10","1218","1225",51,2,3,"Fundamental population-productivity relationships can be modified through density-dependent feedbacks of life-history evolution "
"WOS:000346212300004","He, YF","Article","JOURNAL OF THERMAL BIOLOGY",2014,"46","","24","30",46,1,6,"Effect of rearing temperature on growth and thermal tolerance of Schizothorax (Racoma) kozlovi larvae and juveniles "
"WOS:000345706100011","Neat, FC","Article","JOURNAL OF APPLIED ECOLOGY",2014,"51","6","1564","1574",44,1,9,"Movement of Atlantic cod around the British Isles: implications for finer scale stock management "
"WOS:000345077300010","Rojbek, MC","Article","AQUACULTURE NUTRITION",2014,"20","6","654","666",49,0,6,"Effects of dietary fatty acids on the production and quality of eggs and larvae of Atlantic cod (Gadus morhua L.) "
"WOS:000345314500007","Sturve, J","Article","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",2014,"21","24","13758","13768",46,1,6,"Effects of an oil spill in a harbor assessed using biomarkers of exposure in eelpout "
"WOS:000345050800010","Swalethorp, R","Article","MARINE BIOLOGY",2014,"161","12","2831","2846",77,2,5,"Feeding opportunities of larval and juvenile cod (Gadus morhua) in a Greenlandic fjord: temporal and spatial linkages between cod and their preferred prey "
"WOS:000342252600004","Leonarduzzi, E","Article","FISHERIES RESEARCH",2014,"160","","33","40",68,1,3,"Proximate composition and energy density in relation to Argentine hake females (Merluccius hubbsi) morphometrics and condition indices "
"WOS:000342252600007","Diaz, MV","Article","FISHERIES RESEARCH",2014,"160","","60","68",68,2,3,"Larval condition of Merluccius hubbsi (Marini, 1933) in the northern Patagonian spawning ground "
"WOS:000342252600012","Cubillos, LA","Article","FISHERIES RESEARCH",2014,"160","","103","111",50,1,3,"Simulation of fishery-induced changes on the reproductive cycle of common sardine, Strangomera bentincki, off central southern Chile "
"WOS:000340300300019","Svanevik, CS","Article","FOOD CONTROL",2014,"46","","121","126",31,1,3,"Effect of Anisakis simplex (sl) larvae on the spoilage rate and shelf-life of fish mince products under laboratory conditions "
"WOS:000339457500065","Karlsdottir, MG","Article","FOOD CHEMISTRY",2014,"164","","476","484",40,0,6,"Effect of thermal treatment and frozen storage on lipid decomposition of light and dark muscles of saithe (Pollachius virens) "
"WOS:000345533200019","Tudorache, C","Article","PLOS ONE",2014,"9","11","","",54,1,4,"The Effect of Drag and Attachment Site of External Tags on Swimming Eels: Experimental Quantification and Evaluation Tool "
"WOS:000343613200011","Viaene, KPJ","Article","SCIENCE OF THE TOTAL ENVIRONMENT",2014,"499","","99","106",38,2,5,"Evaluating the contribution of ingested oil droplets to the bioaccumulation of oil components - A modeling approach "
"WOS:000345180500003","Emmenegger, EJ","Article","VETERINARY MICROBIOLOGY",2014,"174","1-2","16","26",73,0,6,"Molecular identification of erythrocytic necrosis virus (ENV) from the blood of Pacific herring (Clupea pallasii) "
"WOS:000345700700008","Puerta, P","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"514","","105","118",72,2,5,"Role of hydro-climatic and demographic processes on the spatio-temporal distribution of cephalopods in the western Mediterranean "
"WOS:000345700700009","Lough, RG","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"514","","119","135",49,0,2,"Transport and retention of vertically migrating adult mysid and decapod shrimp in the tidal front on Georges Bank "
"WOS:000345700700016","Wang, HY","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"514","","217","229",68,1,8,"Effects of temperature on life history set the sensitivity to fishing in Atlantic cod Gadus morhua "
"WOS:000346191300003","Pampoulie, C","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","9","2390","2397",51,1,14,"Genetic structure of the lumpfish Cyclopterus lumpus across the North Atlantic "
"WOS:000346191300004","Eriksen, E","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","9","2398","2402",26,0,3,"Lumpfish (Cyclopterus lumpus) in the Barents Sea: development of biomass and abundance indices, and spatial distribution "
"WOS:000346191300014","Castano-Primo, R","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","9","2505","2514",41,0,3,"A model approach to identify the spawning grounds and describing the early life history of Northeast Arctic haddock (Melanogrammus aeglefinus) "
"WOS:000346191300015","Kristiansen, T","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","9","2515","2529",57,1,4,"Turbulence enhances feeding of larval cod at low prey densities "
"WOS:000345603300005","Landa, CS","Article","FISHERIES OCEANOGRAPHY",2014,"23","6","506","520",68,2,5,"Recruitment, distribution boundary and habitat temperature of an arcto-boreal gadoid in a climatically changing environment: a case study on Northeast Arctic haddock (Melanogrammus aeglefinus) "
"WOS:000345603300006","Petrik, CM","Article","FISHERIES OCEANOGRAPHY",2014,"23","6","521","553",88,0,3,"Interannual differences in larval haddock survival: hypothesis testing with a 3D biophysical model of Georges Bank "
